Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Segment,Days since last purchase
22,Female,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,333.8,4,Mixed,5,5,2.0,,Somewhat Sensitive,1,7,,Tablet,Credit Card,True,False,Need-based,No Preference,2,At risk,447
49,Male,High,Married,High School,High,Food & Beverages,222.22,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,True,False,Wants-based,Standard,6,other,401
24,Female,Middle,Single,Master's,High,Office Supplies,426.22,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,True,True,Impulsive,No Preference,3,At risk,433
29,Female,Middle,Single,Master's,Middle,Home Appliances,101.31,6,Mixed,3,1,1.0,High,Somewhat Sensitive,0,1,,Smartphone,Other,True,True,Need-based,Express,10,other,230
33,Female,Middle,Widowed,High School,Middle,Furniture,211.7,6,Mixed,3,4,0.0,Medium,Not Sensitive,2,10,,Smartphone,Debit Card,False,False,Wants-based,No Preference,4,other,478
45,Male,Middle,Married,Master's,High,Office Supplies,487.95,8,Mixed,3,3,0.0,High,Not Sensitive,2,3,,Tablet,Debit Card,False,False,Planned,No Preference,7,Can't lose,429
21,Female,Middle,Divorced,High School,Middle,Furniture,486.4,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,True,False,Need-based,Express,13,Can't lose,433
39,Male,Middle,Single,High School,Middle,Books,218.06,6,Online,5,4,1.0,Low,Somewhat Sensitive,2,9,,Desktop,Credit Card,False,True,Impulsive,No Preference,13,other,431
24,Female,High,Divorced,Master's,Middle,Office Supplies,201.96,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,False,False,Need-based,Standard,7,Regular,346
25,other,High,Married,Bachelor's,High,Sports & Outdoors,418.83,7,Online,2,5,1.0,,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,True,False,Need-based,No Preference,13,Solid customer,227
33,Male,Middle,Divorced,Bachelor's,Middle,Mobile Accessories,389.7,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,True,False,Planned,Express,12,Solid customer,324
38,Female,High,Widowed,Bachelor's,Middle,Sports & Outdoors,238.93,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,True,False,Planned,No Preference,1,other,146
34,Male,Middle,Single,Bachelor's,High,Luxury Goods,61.22,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,True,True,Need-based,No Preference,5,other,290
32,Male,High,Married,High School,Middle,Animal Feed,79.81,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,False,True,Wants-based,Standard,14,other,310
30,Female,High,Widowed,High School,High,Health Care,58.51,2,Online,4,4,0.5,,Not Sensitive,0,4,Medium,Desktop,PayPal,True,True,Planned,No Preference,14,other,159
40,Male,High,Divorced,Master's,High,Hotels,109.29,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,False,True,Wants-based,Express,11,other,284
37,Male,High,Single,Bachelor's,High,Furniture,356.45,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,False,True,Planned,Standard,8,other,216
38,Female,Middle,Divorced,Bachelor's,High,Mobile Accessories,236.99,10,Mixed,2,4,0.0,High,Very Sensitive,0,8,,Tablet,PayPal,True,True,Impulsive,No Preference,13,Solid customer,164
36,Male,Middle,Widowed,Bachelor's,High,Packages),454.39,10,In-Store,2,4,2.0,Medium,Not Sensitive,0,3,,Desktop,Other,False,True,Impulsive,Standard,3,Solid customer,303
29,Female,High,Widowed,Bachelor's,Middle,Electronics,490.75,10,In-Store,2,4,1.0,,Very Sensitive,1,4,Low,Smartphone,Debit Card,False,False,Wants-based,Standard,13,Solid customer,318
21,Female,Middle,Widowed,High School,Middle,Software & Apps,463.07,7,Mixed,4,2,0.0,,Very Sensitive,1,2,Medium,Smartphone,PayPal,True,False,Wants-based,No Preference,11,Solid customer,303
36,Female,High,Married,Master's,High,Baby Products,56.74,5,Online,5,1,0.0,Medium,Very Sensitive,0,6,,Smartphone,Other,True,False,Impulsive,Express,7,other,295
